         33841 function calls (33739 primitive calls) in 80.793 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.002    0.000    0.006    0.000 threading.py:242(Condition)
        1    0.001    0.001    0.006    0.006 format.py:136(<module>)
        6    0.000    0.000    0.006    0.001 {map}
        9    0.000    0.000    0.006    0.001 threading.py:603(wait)
        1    0.000    0.000    0.006    0.006 difflib.py:27(<module>)
      228    0.005    0.000    0.005    0.000 {approxPolyDP}
       16    0.000    0.000    0.005    0.000 synchronize.py:146(__init__)
       16    0.004    0.000    0.005    0.000 synchronize.py:74(__init__)
        1    0.005    0.005    0.005    0.005 extraction.py:85(get_blocks)
        1    0.002    0.002    0.005    0.005 threading.py:1(<module>)
       40    0.001    0.000    0.005    0.000 core.py:109(get_object_signature)
        1    0.002    0.002    0.005    0.005 io.py:34(<module>)
      105    0.002    0.000    0.005    0.000 forking.py:131(poll)
       32    0.001    0.000    0.005    0.000 extraction.py:58(get_average_luminance_of_block)
        1    0.001    0.001    0.005    0.005 __init__.py:3(<module>)
        1    0.000    0.000    0.005    0.005 pool.py:64(mapstar)
        1    0.004    0.004    0.005    0.005 collections.py:1(<module>)
      117    0.001    0.000    0.005    0.000 re.py:138(match)
        1    0.004    0.004    0.004    0.004 core.py:7187(_convert2ma)
       23    0.000    0.000    0.004    0.000 core.py:5992(__init__)
      284    0.001    0.000    0.004    0.000 sre_parse.py:210(get)
       23    0.001    0.000    0.004    0.000 core.py:5997(getdoc)
        2    0.000    0.000    0.004    0.002 preprocessing.py:64(gray_image)
        1    0.001    0.001    0.004    0.004 queues.py:35(<module>)
        2    0.004    0.002    0.004    0.002 {cvtColor}
        1    0.003    0.003    0.004    0.004 arrayprint.py:5(<module>)
      452    0.004    0.000    0.004    0.000 {contourArea}
        1    0.000    0.000    0.004    0.004 util.py:1(<module>)
       32    0.001    0.000    0.004    0.000 fromnumeric.py:1621(sum)
       18    0.000    0.000    0.004    0.000 sre_compile.py:228(_compile_charset)
        2    0.003    0.002    0.004    0.002 __init__.py:10(<module>)
        1    0.001    0.001    0.004    0.004 loader.py:1(<module>)
        6    0.000    0.000    0.004    0.001 fromnumeric.py:2718(std)
        1    0.001    0.001    0.004    0.004 utils.py:1(<module>)
        6    0.000    0.000    0.003    0.001 _methods.py:119(_std)
        1    0.001    0.001    0.003    0.003 pool.py:713(ThreadPool)
        1    0.003    0.003    0.003    0.003 process.py:35(<module>)
      332    0.003    0.000    0.003    0.000 sre_parse.py:191(__next)
        1    0.002    0.002    0.003    0.003 defmatrix.py:1(<module>)
      105    0.003    0.000    0.003    0.000 {posix.waitpid}
       45    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       18    0.001    0.000    0.003    0.000 sre_compile.py:256(_optimize_charset)
       10    0.000    0.000    0.003    0.000 threading.py:697(_reset_internal_locks)
        3    0.003    0.001    0.003    0.001 {posix.urandom}
        6    0.002    0.000    0.003    0.001 _methods.py:73(_var)
       33    0.000    0.000    0.003    0.000 _methods.py:23(_sum)
     1031    0.003    0.000    0.003    0.000 {isinstance}
       14    0.001    0.000    0.003    0.000 sre_compile.py:433(_compile_info)
        1    0.001    0.001    0.003    0.003 numerictypes.py:304(_add_aliases)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
        1    0.002    0.002    0.003    0.003 synchronize.py:36(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:36(<module>)
       10    0.000    0.000    0.003    0.000 threading.py:542(Event)
        1    0.002    0.002    0.003    0.003 _datasource.py:33(<module>)
        4    0.000    0.000    0.003    0.001 Queue.py:26(__init__)
        3  .002    0.000    0.013    0.000 _methods.py:23(_sum)
    20/14    0.000    0.000    0.013    0.001 sre_parse.py:310(_parse_sub)
        1    0.001    0.001    0.013    0.013 _internal.py:6(<module>)
        1    0.004    0.004    0.013    0.013 subprocess.py:387(<module>)
    20/14    0.005    0.000    0.013    0.001 sre_parse.py:388(_parse)
        1    0.012    0.012    0.012    0.012 {warpPerspective}
        1    0.008    0.008    0.012    0.012 __init__.py:4(<module>)
        1    0.002    0.002    0.012    0.012 random.py:40(<module>)
       14    0.000    0.000    0.012    0.001 sre_compile.py:552(_code)
        2    0.000    0.000    0.012    0.006 preprocessing.py:258(get_blurred)
        2    0.011    0.006    0.011    0.006 {GaussianBlur}
       40    0.001    0.000    0.011    0.000 threading.py:697(_reset_internal_locks)
        1    0.005    0.005    0.011    0.011 case.py:1(<module>)
